event_id,timestamp,event_type,data_json,reason_json,notes,tags_json,affects_cash,cash_delta
1,2026-01-05 14:30:00,TRADE,"{""action"": ""SELL"", ""ticker"": ""PLTR"", ""shares"": ""multiple"", ""price"": 0, ""total"": 5500, ""gain_loss"": 5500}","{""primary"": ""CASH_NEEDED"", ""secondary"": ""REBALANCING"", ""strategic_alignment"": ""GOAL_ALIGNMENT"", ""confidence"": ""HIGH"", ""timeframe"": ""IMMEDIATE"", ""analysis"": ""Need cash to secure puts. Position sizing still good after trim. Other positions in good shape.""}","Sold balancing for cash for secured puts. Recent pltr sold, low gains not important, all other stocks are in good positions","[""portfolio_management"", ""options_strategy"", ""cash_raising""]",True,5500.0
2,2026-01-06 10:00:00,OPTION_OPEN,"{""ticker"": ""BMNR"", ""strategy"": ""Secured Put"", ""strike"": 31.0, ""expiration"": ""2026-01-30"", ""contracts"": 1, ""premium_per_contract"": 4000, ""total_premium"": 4000}","{""primary"": ""INCOME_GENERATION"", ""secondary"": ""WILLING_TO_BUY"", ""strategic_alignment"": ""STRATEGY_EXECUTION"", ""confidence"": ""HIGH"", ""timeframe"": ""SHORT_TERM"", ""analysis"": ""BMNR thesis strong (ETH financials). $31 strike is good entry if assigned. Premium is solid monthly income. Part of covered strategy.""}",Collect monthly premium backed selling secured put - bullish. BMNR 01/30/2026 31.00 P,"[""options"", ""income_generation"", ""bmnr"", ""secured_put""]",True,4000.0
3,2026-01-07 11:15:00,TRADE,"{""action"": ""SELL"", ""ticker"": ""RKLB"", ""shares"": ""partial"", ""price"": 83.29, ""total"": 703, ""gain_loss"": 703}","{""primary"": ""PROFIT_TAKING"", ""secondary"": ""RISK_REDUCTION"", ""strategic_alignment"": ""RISK_MANAGEMENT"", ""confidence"": ""MEDIUM"", ""timeframe"": ""SHORT_TERM"", ""analysis"": ""RKLB up 50%+ from cost basis. Market correction expected in 6-8 weeks per Fundstrat. Trimming winners to raise cash. Small trim preserves upside.""}",Locked small rklb profit. RKLB,"[""profit_taking"", ""risk_management"", ""market_timing"", ""rklb""]",True,703.0
4,2026-01-03 10:00:00,NOTE,"{""category"": ""market_events"", ""content"": ""Next Events: Market Wide Correction 6-8 weeks, fundstrat. Could trim winners when it comes. Can take big profit on RKLB right now if we want lock in over 50%. Bmnr put expires 1/31, monitor and roll or let expire.""}","{""primary"": ""MARKET_CONDITIONS"", ""secondary"": ""RISK_MANAGEMENT"", ""strategic_alignment"": ""STRATEGY_EXECUTION"", ""confidence"": ""MEDIUM"", ""timeframe"": ""SHORT_TERM"", ""analysis"": ""Fundstrat predicting correction. Need action plan: 1) Trim RKLB winners, 2) Monitor BMNR put for roll, 3) Raise cash position to 20%.""}",Upcoming market events and action items,"[""market_outlook"", ""planning"", ""risk_assessment""]",False,0.0
5,2026-01-09 15:48:18,PRICE_UPDATE,"{""prices"": {""BMNR"": 30.0, ""NBIS"": 98.01, ""TSLA"": 445.52, ""META"": 652.52, ""RKLB"": 84.84, ""PLTR"": 177.45, ""SPOT"": 536.34}, ""source"": ""yfinance""}","{""primary"": ""PRICE_UPDATE"", ""analysis"": ""Live price fetch via yfinance API""}",Daily price update from yfinance,"[""prices"", ""market_data""]",False,0.0
6,2026-01-09 16:05:16,TRADE,"{""action"": ""BUY"", ""ticker"": ""TSLA"", ""shares"": 5, ""price"": 445.5, ""total"": 2227.5, ""gain_loss"": 0}","{""primary"": ""VALUE_OPPORTUNITY"", ""confidence"": ""MEDIUM"", ""timeframe"": ""SHORT_TERM""}",,"[""trade"", ""tsla"", ""buy""]",True,-2227.5
7,2026-01-09 16:05:22,DEPOSIT,"{""amount"": 1000.0, ""source"": ""test deposit""}",{},test deposit,"[""cash"", ""deposit""]",True,1000.0
8,2026-01-09 16:05:36,PRICE_UPDATE,"{""prices"": {""BMNR"": 30.08, ""NBIS"": 97.93, ""TSLA"": 445.01, ""META"": 653.06, ""RKLB"": 84.84, ""PLTR"": 177.49, ""SPOT"": 539.26}, ""source"": ""yfinance""}","{""primary"": ""PRICE_UPDATE"", ""analysis"": ""Live price fetch via yfinance""}",Price update from yfinance,"[""prices"", ""market_data""]",False,0.0
9,2026-01-09 16:09:32,OPTION_CLOSE,"{""option_id"": 2, ""original_premium"": 4000, ""close_cost"": 500.0, ""profit"": 3500.0}",{},"Closed option 2: Premium $4,000 - Close $500 = Profit $3,500","[""options""]",True,-500.0
10,2026-01-09 16:10:45,TRADE,"{""action"": ""BUY"", ""ticker"": ""BMNR"", ""shares"": 17, ""price"": 31.03, ""total"": 527.51, ""gain_loss"": 0}","{""primary"": ""VALUE_OPPORTUNITY"", ""confidence"": ""MEDIUM"", ""timeframe"": ""SHORT_TERM""}",,"[""trade"", ""bmnr"", ""buy""]",True,-527.51
11,2026-01-09 20:40:44,PRICE_UPDATE,"{""prices"": {""BMNR"": 30.06, ""NBIS"": 97.93, ""TSLA"": 445.01, ""META"": 653.06, ""RKLB"": 84.85, ""PLTR"": 177.49, ""SPOT"": 539.37}, ""source"": ""yfinance""}","{""primary"": ""PRICE_UPDATE"", ""analysis"": ""Live price fetch via yfinance""}",Price update from yfinance,"[""prices"", ""market_data""]",False,0.0
12,2026-01-09 20:45:43,PRICE_UPDATE,"{""prices"": {""BMNR"": 30.06, ""NBIS"": 97.93, ""TSLA"": 445.01, ""META"": 653.06, ""RKLB"": 84.85, ""PLTR"": 177.49, ""SPOT"": 539.37}, ""source"": ""yfinance""}","{""primary"": ""PRICE_UPDATE"", ""analysis"": ""Live price fetch via yfinance""}",Price update from yfinance,"[""prices"", ""market_data""]",False,0.0
13,2026-01-09 20:55:55,PRICE_UPDATE,"{""prices"": {""BMNR"": 30.06, ""NBIS"": 97.93, ""TSLA"": 445.01, ""META"": 653.06, ""RKLB"": 84.85, ""PLTR"": 177.49, ""SPOT"": 539.37}, ""source"": ""yfinance""}","{""primary"": ""PRICE_UPDATE"", ""analysis"": ""Live price fetch via yfinance""}",Price update from yfinance,"[""prices"", ""market_data""]",False,0.0
